common_name,scientific_name,scientific_name_url,species_grp,global_conservation_status_rank,state_conservation_status_rank,federal_legal_status,state_legal_status,statewide_occurrences,virginia_coastal_zone
Northern Coastal Plain / Piedmont Oak - Beech / Heath Forest,"Fagus grandifolia - Quercus (alba, montana, rubra) / Kalmia latifolia Forest",https://www.dcr.virginia.gov/natural-heritage/natural-communities/nctc8,TERRESTRIAL NATURAL COMMUNITY,G4,S3,None,None,22,Y
Southern Coastal Plain Mesic Mixed Hardwood Forest,"Fagus grandifolia - Quercus (alba, nigra, michauxii) / Symplocos tinctoria - (Stewartia malacodendron) Forest",https://www.dcr.virginia.gov/natural-heritage/natural-communities/nctb4,TERRESTRIAL NATURAL COMMUNITY,G4?,S2S3,None,None,11,Y
Northern Coastal Plain / Piedmont Mesic Mixed Hardwood Forest,"Fagus grandifolia - Quercus (alba, rubra) - Liriodendron tulipifera / (Ilex opaca) / Polystichum acrostichoides Forest",https://www.dcr.virginia.gov/natural-heritage/natural-communities/nctb4,TERRESTRIAL NATURAL COMMUNITY,G5,S5,None,None,28,N
Tidal Oligohaline Marsh (Mixed Forbs Type),"Hibiscus moscheutos - Persicaria punctata - Peltandra virginica - (Typha angustifolia, Spartina cynosuroides) Tidal Herbaceous Vegetation",https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncea2,TERRESTRIAL NATURAL COMMUNITY,G4,S4,None,None,4,Y
Interdune Swale / Pond,Interdune Swale / Pond,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncpe2,TERRESTRIAL NATURAL COMMUNITY,G2,S2,None,None,5,Y
Wind-Tidal Oligohaline Marsh (Black Needlerush Type),Juncus roemerianus - Eleocharis fallax Tidal Herbaceous Vegetation,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncea3,TERRESTRIAL NATURAL COMMUNITY,G2G3,S2S3,None,None,3,Y
Interdune Swale (Mixed Rush Type),Juncus scirpoides - Eupatorium hyssopifolium - Euthamia caroliniana - Xyris jupicai Herbaceous Vegetation,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncpe2,TERRESTRIAL NATURAL COMMUNITY,G2G3,S1?,None,None,1,Y
Southern Piedmont / Inner Coastal Plain Floodplain Terrace Forest,"Liquidambar styraciflua - Quercus (michauxii, shumardii) - Carya cordiformis / Ilex decidua / Carex amphibola Forest",https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncpa2,TERRESTRIAL NATURAL COMMUNITY,G3G4,S3,None,None,7,N
Oligohaline Tidal Shrub Swamp,Morella cerifera - Rosa palustris / Osmunda spectabilis - Thelypteris palustris Tidal Shrubland,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncea5,TERRESTRIAL NATURAL COMMUNITY,G4,S3,None,None,3,Y
Tidal Freshwater / Oligohaline Aquatic Bed (Narrow-Leaved Spatterdock Type),Nuphar sagittifolia Permanently Flooded Tidal Herbaceous Vegetation,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncea7,TERRESTRIAL NATURAL COMMUNITY,G1G2,S1,None,None,1,Y
Coastal Plain Seasonal Pond (Swamp Tupelo - Overcup Oak Type),Nyssa biflora - (Quercus lyrata) / Eubotrys racemosus / Carex joorii Forest,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncpc1,TERRESTRIAL NATURAL COMMUNITY,G1G2,S1S2,None,None,29,Y
Coastal Plain Swamp Tupelo Blackwater Swamp,Nyssa biflora - (Taxodium distichum) / Clethra alnifolia - Viburnum nudum / Lorinseria areolata Forest,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncpa1,TERRESTRIAL NATURAL COMMUNITY,G3,S3?,None,None,4,N
Wind-Tidal Tupelo - Bald Cypress Swamp,"Nyssa biflora - (Taxodium distichum, Pinus taeda) / Morella cerifera / Osmunda spectabilis Tidal Forest",https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncea6,TERRESTRIAL NATURAL COMMUNITY,G2?,S2,None,None,2,Y
Non-Riverine Swamp Forest (Mixed Evergreen Type),Nyssa biflora - Acer rubrum - Magnolia virginiana - Chamaecyparis thyoides / Lyonia lucida - Clethra alnifolia Forest,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncpc2,TERRESTRIAL NATURAL COMMUNITY,G2G3,S1,None,None,2,N
Freshwater Tidal Hardwood Swamp,Nyssa biflora - Fraxinus profunda - (Fraxinus pennsylvanica) / Ilex verticillata / Persicaria arifolia Tidal Forest,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncea6,TERRESTRIAL NATURAL COMMUNITY,G3,S3,None,None,6,Y
Non-Riverine Swamp Forest (Tupelo - Bald Cypress Type),Nyssa biflora - Taxodium distichum - Acer rubrum / (Persea palustris) / Clethra alnifolia / Anchistea virginica Forest,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncpc2,TERRESTRIAL NATURAL COMMUNITY,G2G3,S1S2,None,None,3,Y
Interdune Swale / Pond (Switchgrass Type),Panicum virgatum - Schoenoplectus pungens Herbaceous Vegetation,https://www.dcr.virginia.gov/natural-heritage/natural-communities/ncpe2,TERRESTRIAL NATURAL COMMUNITY,G2G4,S2?,None,None,3,Y
